CLAIM,KIDSDRIV,AGE,HOMEKIDS,INCOME,HOMEOWN,MSTATUS,GENDER,EDUCATION,TRAVTIME,CAR_USE,BLUEBOOK,TWC,RED_CAR,CLM_BEF,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
0,0,41,0,92842,1,0,0,1,12,1,25810,6,0,1,0,1,15,1
0,0,39,0,35081,1,1,0,1,38,1,16640,4,1,0,0,0,13,1
0,0,56,0,0,1,1,1,1,65,0,13220,1,0,0,0,0,12,0
0,0,49,0,115044,1,0,1,1,18,0,17900,1,0,0,0,0,14,1
0,0,38,0,37754,1,1,1,0,47,0,12080,1,0,0,0,1,9,0
0,0,43,1,145353,1,1,1,1,38,1,29450,6,0,0,0,0,15,1
0,0,63,0,121398,1,1,1,1,10,0,16270,1,0,0,0,0,11,1
0,0,52,0,0,1,0,1,0,48,1,9280,1,0,0,0,1,6,0
0,0,35,0,14508,0,1,0,1,22,1,6450,1,0,0,0,0,7,1
0,0,43,0,75338,1,1,1,1,40,0,23080,1,0,0,0,0,8,1
0,0,41,0,32774,0,0,1,0,44,0,20120,4,0,0,0,0,1,0
0,0,40,0,57474,1,1,0,1,5,1,29270,4,1,0,0,1,5,1
0,0,31,1,26520,1,1,0,1,62,1,4600,6,1,0,0,1,5,1
0,0,53,0,107259,1,1,0,1,36,0,29230,10,1,0,0,0,15,1
0,0,39,1,34046,1,1,1,0,33,0,4040,6,0,0,0,0,5,0
0,0,33,1,32364,1,1,0,0,40,0,12270,18,1,0,0,1,1,1
1,0,40,0,16989,0,0,0,0,20,1,12230,4,1,1,1,1,6,1
1,0,44,1,16352,1,1,1,0,37,0,10520,1,0,1,0,1,1,1
0,0,56,0,44760,1,1,0,1,30,0,21770,13,1,0,0,0,6,1
1,1,45,1,63952,1,1,1,1,50,0,32340,6,0,1,1,0,13,1
1,1,44,1,24060,0,0,0,1,24,0,14220,4,0,0,0,0,10,1
1,0,33,1,20822,1,1,1,0,46,0,6880,13,0,1,0,0,1,1
0,0,32,1,54968,1,1,1,0,20,0,10040,4,0,0,1,0,8,1
1,0,34,0,14194,1,0,1,0,13,0,2920,4,0,1,1,1,10,1
0,1,38,1,2149,1,1,1,0,35,0,22690,10,0,0,0,1,1,1
1,1,43,1,137103,0,0,1,1,29,0,19510,1,0,1,0,0,15,1
0,0,46,0,79538,0,0,1,1,13,0,14050,3,0,0,1,1,11,1
0,0,45,1,185836,1,1,1,1,28,0,10250,1,0,1,0,1,20,1
0,0,63,0,74426,0,0,1,1,11,0,27600,1,0,0,0,0,18,1
0,0,44,0,74722,1,1,1,1,9,0,23640,6,0,0,0,0,1,1
1,1,45,1,102393,0,0,0,1,25,0,1500,1,1,0,0,1,11,1
0,0,35,0,29371,0,0,1,0,49,0,4860,10,0,0,0,0,1,1
1,0,48,0,31773,1,1,0,0,14,1,9640,13,0,1,0,1,1,1
0,0,49,0,0,1,1,1,1,42,0,6400,10,0,1,0,1,14,1
0,0,44,1,139330,1,0,1,0,35,1,22050,10,0,0,0,0,1,0
0,0,50,0,163296,1,0,1,1,42,0,22830,1,0,0,0,0,14,0
0,0,30,1,17455,1,0,1,0,50,0,12380,13,0,0,0,0,6,0
0,0,54,0,71007,1,1,0,1,61,0,14000,6,0,0,0,0,11,1
1,0,53,0,38036,1,1,1,0,32,1,13140,1,0,0,0,1,1,1
0,0,53,0,41199,1,0,1,1,21,0,15360,1,0,0,0,0,8,1
0,0,29,1,38042,1,0,0,0,15,0,15160,6,0,0,0,0,1,1
0,0,55,0,45787,1,1,1,1,5,0,19380,6,0,0,0,0,13,1
0,0,55,0,84964,1,1,0,1,21,1,5760,1,1,1,0,1,11,1
0,0,34,0,51565,0,0,0,1,36,0,18110,1,1,1,0,1,15,1
1,0,34,1,0,1,1,1,0,25,0,11740,9,0,1,0,1,1,1
0,0,36,0,105384,1,1,0,1,24,0,13800,7,1,1,1,1,17,1
1,0,41,0,66265,1,1,0,1,59,0,12230,4,1,0,0,1,9,1
0,0,42,0,76226,1,1,0,1,18,1,23390,13,1,0,0,0,14,1
0,1,38,1,7528,1,1,0,0,26,0,8080,1,1,0,0,0,8,0
1,0,33,1,0,0,0,0,0,14,1,15090,1,1,1,0,1,5,1
0,1,42,1,32797,1,1,1,1,63,0,21690,1,0,0,0,1,14,1
1,0,47,0,44705,1,1,1,1,50,0,12840,1,0,1,0,0,10,1
0,0,52,0,68992,1,0,1,1,36,1,15120,1,0,0,0,1,10,0
0,0,43,0,132561,1,0,0,1,8,1,30150,16,0,1,0,0,1,1
0,0,66,1,96830,1,1,0,1,23,0,11180,7,0,0,0,0,16,1
1,0,52,0,64014,1,1,0,0,33,1,7900,4,1,1,0,1,5,1
0,1,61,1,41857,1,1,1,1,35,0,20870,1,0,0,0,0,21,1
1,0,41,1,126468,0,0,1,1,34,1,32690,3,0,0,0,1,18,1
0,1,40,1,75516,1,1,1,0,53,1,13050,5,0,0,1,0,6,0
0,0,52,0,76954,1,0,0,1,44,0,19540,6,1,0,1,0,11,1
0,0,58,1,150352,1,1,1,1,21,0,24240,6,0,0,0,0,17,1
1,1,38,1,37580,1,1,1,0,36,0,5260,7,0,1,0,0,1,1
1,0,41,1,23344,1,1,0,0,10,0,7930,1,0,0,0,1,1,1
0,0,37,0,43290,1,1,1,1,29,0,23640,1,0,0,0,0,10,1
0,0,48,0,48737,1,1,0,1,24,0,11220,9,1,0,0,1,1,1
0,0,47,0,64259,1,1,0,0,26,0,25100,18,0,1,0,1,9,1
0,0,41,0,12541,0,0,0,0,5,0,7500,1,1,0,0,0,1,0
0,0,47,0,104271,1,1,0,1,40,1,36120,4,1,0,0,0,11,1
0,0,44,1,67278,1,1,1,1,49,0,20210,1,0,0,0,0,16,0
0,0,46,0,104990,1,0,1,1,40,0,16080,13,0,0,0,0,7,1
0,0,49,0,89948,0,0,1,1,37,0,18160,7,0,0,0,1,9,1
0,0,33,1,111427,1,1,1,1,35,1,28180,1,0,0,0,1,4,1
0,0,62,0,107734,0,0,1,1,54,0,18470,3,0,0,0,0,15,1
1,0,42,0,0,0,0,0,0,47,1,5700,11,1,0,0,1,1,1
0,0,36,1,25282,0,0,1,0,38,0,11160,1,0,0,0,0,1,0
0,0,47,0,18549,1,1,0,1,24,0,12800,7,0,0,0,0,14,1
0,0,51,0,50166,1,0,0,0,32,1,11620,1,0,1,1,0,1,1
0,0,46,0,73872,1,1,1,1,43,0,20240,4,0,0,0,0,16,0
0,0,50,0,73343,1,1,1,0,60,0,20010,1,0,1,0,1,8,1
1,0,43,1,49849,0,0,1,1,35,0,13130,1,0,1,0,1,20,1
1,1,39,1,12054,0,1,1,0,28,1,15760,4,0,1,1,1,1,1
0,0,43,1,48184,1,1,1,0,50,1,14530,12,0,1,0,1,1,1
1,0,60,1,78936,1,1,1,1,40,0,20350,6,0,0,0,0,15,1
0,0,55,0,0,0,0,0,0,33,0,7000,4,0,0,0,0,1,0
0,0,40,0,78914,1,0,1,1,36,0,5500,10,0,1,0,1,10,1
0,0,39,0,77125,1,1,1,1,49,0,9570,7,0,0,0,1,13,1
0,0,38,0,25835,1,1,0,0,29,0,8490,6,1,0,0,1,12,1
0,0,42,0,47660,1,1,0,1,31,0,11940,7,1,1,0,1,18,1
0,0,42,0,123143,1,0,1,1,16,0,24930,4,0,0,0,1,14,1
0,0,49,0,22059,1,1,1,0,24,1,21990,11,0,0,0,1,1,1
0,1,36,1,50750,0,0,1,1,26,0,10170,7,0,1,0,1,14,1
0,0,34,1,23571,0,0,0,0,35,1,12180,7,1,0,0,0,7,1
0,0,49,0,0,1,1,1,1,29,0,18110,7,0,0,0,1,1,1
0,0,52,0,35631,1,1,0,0,39,0,6040,10,1,0,0,0,1,1
0,0,55,0,55409,1,1,0,1,45,1,27890,4,0,0,0,0,14,0
0,0,40,1,48067,1,0,1,1,21,0,18120,8,0,0,0,0,8,1
0,0,45,1,64867,1,1,1,1,21,0,12490,1,0,0,0,0,10,1
0,0,80,1,97716,1,1,0,1,14,0,15920,13,1,0,0,1,10,1
0,0,48,0,39613,1,1,0,0,48,1,8460,10,1,1,0,1,1,1
0,0,40,0,49780,0,0,1,0,52,0,10500,6,0,0,0,0,1,0
0,0,45,0,60845,0,0,1,1,31,0,24260,4,0,0,0,0,18,1
1,0,42,0,136344,0,0,1,1,45,0,13160,1,0,0,0,0,17,1
0,0,36,0,70313,1,1,1,1,55,0,14960,6,0,1,0,1,4,1
0,0,45,1,23773,0,0,1,0,9,1,34510,7,0,0,0,0,1,0
0,0,52,0,115713,1,0,1,1,28,0,21660,6,0,0,0,0,11,0
0,0,41,0,55364,0,0,0,0,17,1,31390,1,1,0,0,1,1,0
0,0,36,0,27693,1,1,1,0,37,0,11300,10,0,1,0,1,7,1
0,0,56,0,0,1,1,1,1,29,0,27890,13,0,1,0,0,9,1
0,1,53,1,0,0,1,1,0,34,0,1500,10,0,1,0,1,7,0
1,0,39,0,32936,1,0,1,0,12,0,1500,6,0,0,0,0,7,1
0,0,38,0,33151,1,1,1,1,31,0,11530,13,0,0,0,0,9,0
1,1,45,1,0,0,0,0,0,36,0,16510,4,0,1,1,0,1,1
0,0,46,0,24575,1,1,1,0,73,0,8560,10,0,0,0,0,9,0
0,0,43,1,32546,1,1,0,0,49,0,5800,10,1,0,0,1,5,1
0,1,54,1,0,0,0,1,1,21,0,18820,6,0,1,0,1,9,1
0,0,55,0,163158,1,1,0,1,44,1,23320,10,0,0,0,1,19,1
0,0,61,0,58212,1,1,1,0,37,0,13420,1,0,1,0,1,1,0
1,0,53,0,84345,1,1,1,1,36,0,9930,4,0,0,0,1,5,1
0,0,54,0,107808,1,1,1,1,45,1,27020,7,0,1,0,0,6,1
0,0,39,1,59685,1,1,0,0,42,1,7470,7,0,0,0,0,1,0
0,0,38,0,90647,1,1,1,1,38,0,13740,4,0,1,0,0,15,0
1,0,42,0,43174,1,0,0,0,48,1,10020,13,1,0,0,0,1,1
1,0,31,1,30653,0,0,1,0,41,0,12930,13,0,1,1,0,7,1
0,0,41,1,0,1,0,1,1,18,0,32090,6,0,0,0,0,17,0
0,0,49,0,59148,1,1,1,0,18,0,12310,1,0,1,0,0,1,1
0,0,47,0,81899,1,0,0,0,25,0,14390,1,1,0,0,0,1,1
0,0,45,1,1158,0,1,1,0,10,1,6120,10,0,0,0,0,1,0
0,0,53,0,114088,1,1,1,0,25,0,22920,10,0,0,0,0,8,1
0,0,51,0,80621,1,1,1,0,27,0,25700,1,0,0,0,0,1,1
0,0,51,1,94328,1,1,1,1,44,0,6900,3,0,0,0,0,1,1
1,0,36,1,49703,1,0,0,1,37,1,42550,1,1,1,1,0,20,1
1,0,53,0,25289,1,1,1,0,31,0,13850,1,0,0,0,0,7,1
0,0,40,0,95405,0,0,0,1,34,1,24220,4,0,0,0,1,14,1
1,0,31,1,26112,1,1,1,0,58,0,14030,3,0,0,0,0,5,0
1,0,58,0,131560,0,0,1,1,40,0,14870,1,0,0,0,1,14,1
0,0,50,0,90566,1,0,1,1,40,0,23260,17,0,0,0,0,18,1
0,0,45,1,62447,1,0,0,0,39,1,12240,7,1,0,0,0,1,1
0,0,46,0,108701,1,1,1,1,39,0,12070,3,0,0,0,0,17,1
0,0,47,0,94774,1,0,0,0,43,1,21070,1,0,1,0,1,13,1
0,1,43,1,72357,1,1,0,1,40,1,23190,1,1,0,0,0,7,1
0,0,48,0,140112,1,0,1,1,47,1,28380,10,0,0,0,1,17,1
0,0,39,0,19016,1,0,0,0,22,1,10950,13,1,0,0,0,8,0
0,0,49,0,0,0,0,1,0,55,0,19810,7,0,0,0,1,1,0
0,0,45,0,19909,1,1,1,0,14,0,7990,1,0,0,0,0,1,1
0,0,36,0,4885,1,1,1,1,35,0,7080,6,0,1,0,1,17,1
1,1,59,1,119382,0,0,1,1,26,1,24130,13,0,0,0,0,16,1
0,0,60,0,89511,1,1,0,1,5,1,11380,4,1,1,0,0,15,1
0,0,45,1,36947,1,1,1,0,32,0,6200,6,0,0,0,0,1,1
0,0,34,1,27581,0,0,0,0,38,1,12250,4,1,0,0,1,5,0
0,0,33,1,86187,1,0,0,1,81,0,13420,17,0,0,0,1,5,0
0,0,52,0,42255,0,0,0,0,61,1,22280,3,0,0,0,1,12,1
0,0,53,0,37646,0,1,1,0,19,0,16020,4,0,1,0,0,10,1
0,0,37,0,116043,0,0,1,1,40,0,16800,17,0,0,0,1,9,1
0,0,45,1,89479,1,1,0,1,30,0,14950,10,1,0,0,0,8,1
0,0,38,0,92917,0,0,0,1,57,0,15120,1,1,1,0,0,4,0
0,0,36,1,29741,0,0,1,0,32,0,8070,6,0,1,0,0,7,1
0,0,51,0,3673,1,1,0,0,5,1,11180,10,0,0,0,0,1,0
1,1,39,1,61370,0,0,0,1,6,1,21770,6,1,1,1,0,12,1
0,0,51,0,32159,1,0,1,0,46,0,2600,6,0,0,1,1,6,0
0,1,40,1,20126,1,0,1,0,5,0,8260,6,0,0,0,0,1,1
1,0,54,0,44782,1,0,1,0,83,0,30260,3,0,0,0,0,9,1
0,0,34,1,59828,0,0,1,1,56,1,10880,10,0,0,0,0,13,1
0,1,41,1,74022,1,1,1,1,51,0,13000,10,0,1,0,0,12,1
0,0,36,0,80256,1,1,0,1,9,1,14860,4,1,1,0,1,15,1
0,0,55,0,6094,0,1,0,0,28,1,22770,4,1,1,0,1,1,1
0,1,45,1,0,1,1,1,1,27,0,14300,1,0,1,0,1,11,1
1,1,45,1,30085,1,1,0,0,44,1,7200,4,0,0,1,1,8,1
0,0,50,0,80241,0,0,1,1,17,0,14520,4,0,1,0,1,11,1
0,0,55,0,55673,1,1,1,1,43,1,27400,14,0,0,0,0,13,1
1,0,44,0,32317,0,0,0,0,68,0,22450,7,1,1,0,1,1,1
0,0,50,0,58762,0,0,0,1,13,0,13320,6,1,1,0,0,8,1
0,0,60,0,76899,1,1,0,1,34,0,7900,4,1,1,1,0,14,1
0,0,40,0,48640,0,0,0,0,19,1,10360,1,0,0,0,0,4,0
0,0,57,0,78592,1,1,1,0,42,1,15760,7,0,1,0,0,8,1
1,0,64,0,61521,1,1,1,1,41,0,7650,1,0,0,0,1,9,1
1,0,34,1,105554,1,0,0,1,75,0,5300,4,0,1,0,1,20,1
0,0,52,0,147666,1,1,1,1,43,0,6700,11,0,0,0,0,17,0
1,1,42,1,69290,0,0,0,1,30,1,23900,4,1,1,0,1,11,1
0,0,54,0,105762,0,0,0,1,5,0,17480,6,1,0,1,1,18,1
0,0,42,1,79185,1,1,1,1,28,0,13020,3,0,1,0,1,1,1
0,0,56,0,111702,0,0,1,1,18,0,18270,6,0,0,0,0,17,1
0,0,35,0,13760,0,0,1,0,27,1,7700,6,0,1,0,1,1,1
1,0,54,0,88668,1,1,1,1,63,0,20090,4,0,1,0,1,14,1
1,0,50,0,2657,1,1,1,1,63,0,10480,13,0,1,1,1,11,1
0,0,29,1,51122,1,1,1,1,40,1,10470,1,0,1,1,1,9,1
0,0,44,0,0,1,1,1,1,28,0,14190,4,0,1,1,1,8,1
0,1,38,1,83937,1,1,1,1,28,1,13800,3,0,1,0,0,10,1
0,1,37,1,96188,0,0,1,1,49,0,13340,1,0,0,1,1,10,1
0,1,55,1,17820,1,1,1,1,32,0,13340,1,0,1,0,1,8,0
0,1,51,1,62894,1,1,1,1,84,0,5990,17,0,0,1,0,10,0
1,1,42,1,68090,1,0,1,1,45,1,11750,1,0,1,0,1,12,1
1,0,45,1,25032,0,0,1,0,34,1,6100,1,1,1,0,1,1,0
1,0,54,0,52078,1,1,0,1,51,1,23250,1,1,1,0,1,18,1
0,0,48,0,22633,1,1,1,1,30,0,16730,13,0,0,0,0,9,1
0,0,50,0,0,1,1,0,0,32,0,4980,6,0,0,0,0,1,0
1,0,25,1,51544,0,0,1,0,44,1,20630,1,0,1,0,1,1,1
0,0,35,0,72389,1,0,1,1,45,0,13440,1,0,1,0,1,10,1
1,0,29,1,73842,0,0,1,0,25,1,22340,1,0,1,0,1,1,1
1,1,45,1,0,0,0,0,0,33,0,6000,1,0,1,1,1,1,1
0,0,56,0,109521,1,1,0,1,30,1,7100,7,0,0,0,1,17,1
0,0,45,1,71969,1,0,1,1,44,0,13060,6,0,0,0,0,1,1
0,0,52,0,37295,1,0,0,0,28,1,6700,4,1,0,0,0,1,0
0,0,40,0,50224,0,0,0,0,16,1,13780,1,1,1,0,1,5,1
1,0,41,1,109957,1,1,1,1,50,0,29470,6,0,0,0,1,18,1
0,0,44,1,44141,1,1,0,1,11,0,5900,10,0,1,0,0,0,1
0,0,54,0,30388,0,0,0,1,24,0,16580,4,0,1,0,0,13,1
0,0,42,0,85752,1,1,0,1,36,1,5700,13,0,0,0,1,19,1
0,0,50,0,8345,0,1,0,0,39,0,15330,10,1,0,0,0,5,0
1,0,38,0,10486,1,1,0,0,33,0,6350,1,0,1,0,1,5,1
0,0,36,0,33284,1,1,1,0,68,1,14640,10,0,0,0,0,10,1
1,0,62,0,33713,1,1,1,1,26,1,23470,4,0,1,1,0,15,1
0,0,47,0,144957,1,0,1,1,22,0,24120,3,0,0,0,1,1,1
0,0,46,0,79317,1,1,0,0,5,0,6100,1,1,1,0,1,6,1
0,0,42,0,64705,0,0,0,1,46,1,22560,1,1,1,0,1,19,1
0,0,33,1,0,0,1,0,0,27,0,10160,6,1,1,0,1,1,1
1,0,45,1,94325,1,1,0,1,55,0,6960,1,0,0,0,1,14,1
0,0,55,0,72337,1,1,0,1,28,1,22980,3,0,0,0,1,11,1
0,0,41,0,157237,0,0,1,1,45,0,17410,7,0,0,0,0,15,1
0,0,40,1,5322,1,1,1,1,32,1,9960,1,0,1,0,1,1,1
0,0,57,0,51737,1,1,1,0,56,0,17440,6,0,0,1,1,11,0
1,0,64,0,38020,0,1,0,0,11,1,28710,7,1,0,0,0,3,1
1,0,32,1,60050,1,0,1,0,31,0,11480,1,0,1,1,1,1,1
0,0,37,0,97266,1,0,1,1,21,1,14930,10,0,1,0,0,11,1
0,0,45,1,19793,0,1,1,0,5,0,7980,6,0,0,1,0,5,1
0,0,39,1,50875,1,1,1,0,23,1,14100,6,0,0,0,1,1,1
0,1,41,1,32057,1,1,1,0,20,0,9800,10,0,0,0,0,1,0
1,0,35,0,62036,1,1,0,0,5,1,16370,4,1,1,0,1,1,1
1,0,64,0,40528,1,1,1,0,54,1,11950,7,0,1,0,1,6,1
0,0,46,0,266027,0,0,0,1,52,1,34020,1,1,1,0,1,23,1
0,0,59,0,158703,0,0,1,1,32,0,20540,17,0,0,0,0,18,1
1,0,40,1,39600,1,0,1,0,37,0,5460,1,0,1,0,1,1,1
0,0,43,0,67109,1,1,1,0,38,1,8530,10,0,0,0,0,1,1
0,0,48,0,75723,1,1,1,1,37,0,7210,13,0,0,0,0,12,1
0,0,48,0,0,0,1,0,0,47,0,6520,3,1,0,1,0,1,0
0,0,59,0,186632,1,1,0,1,35,0,21730,1,0,0,0,1,13,1
0,0,43,0,97103,1,0,1,1,17,0,17960,4,0,1,0,1,15,1
1,0,43,1,0,1,0,1,0,41,0,14240,4,0,0,0,1,1,1
1,0,55,0,0,1,1,1,1,11,0,8560,6,0,1,0,1,14,1
1,0,54,0,10617,0,1,0,0,14,1,7960,10,0,1,0,1,9,1
0,1,35,1,33799,1,1,1,0,48,0,13420,10,0,1,0,1,1,1
1,0,46,0,140766,1,0,0,1,41,1,29220,13,1,0,0,1,13,1
1,0,26,1,0,0,1,1,1,10,1,4100,1,0,1,0,1,6,1
1,0,43,1,46224,1,1,0,0,45,1,11510,13,1,0,1,0,10,1
0,0,43,0,91877,1,0,1,1,5,0,26290,16,0,0,1,1,18,1
0,0,54,0,193895,1,1,1,1,51,0,9060,10,0,1,0,0,15,1
0,0,45,0,0,0,0,0,0,36,1,26500,10,1,0,0,1,8,0
1,0,46,0,31177,1,0,0,0,41,1,25420,9,0,0,0,1,1,1
0,0,47,0,28654,1,0,0,0,22,1,9070,6,1,0,0,1,8,0
0,0,45,0,107327,1,0,1,1,38,0,18540,1,0,0,0,1,9,1
0,0,55,0,45918,1,1,1,0,52,0,11590,11,0,1,0,0,1,1
0,0,53,0,106830,0,0,0,1,28,0,17480,13,1,0,0,0,7,1
0,0,49,0,33322,1,0,1,1,45,1,21320,4,0,1,0,1,10,1
0,0,47,0,15249,1,1,1,1,62,0,8400,4,0,0,0,1,15,1
0,1,41,1,38034,1,1,1,1,30,0,11300,6,0,1,0,1,1,1
0,0,49,0,95156,1,1,0,1,70,1,9720,6,0,1,0,0,15,1
0,0,31,1,110404,1,1,1,1,5,1,13710,8,0,0,0,1,14,0
0,0,50,0,36504,1,1,0,0,30,1,14210,1,1,0,0,0,8,1
1,0,58,0,51870,0,0,0,0,36,1,24520,4,1,0,1,1,1,1
0,0,56,0,125795,0,0,0,1,52,0,7100,1,1,0,0,0,14,1
1,0,41,0,99959,1,0,1,1,13,0,18850,6,0,0,0,1,11,1
1,0,37,0,61790,0,0,0,0,32,1,15150,4,0,0,0,0,7,1
0,0,57,0,33707,0,0,1,0,40,1,27520,12,0,0,0,0,1,0
1,1,37,1,0,0,0,1,0,18,0,1500,3,0,0,0,1,1,1
1,0,49,0,28592,1,1,0,0,31,1,9260,1,0,1,1,1,1,1
1,0,42,1,64766,1,1,1,0,20,1,11840,18,0,1,1,1,1,1
0,0,38,0,81447,1,1,0,1,36,1,15820,6,1,0,0,0,9,0
1,0,25,1,40095,0,0,0,0,38,1,22720,3,1,1,0,1,9,1
0,0,44,0,87072,1,1,0,1,21,0,14820,10,0,0,0,0,15,1
0,0,20,0,19933,1,0,1,0,19,1,15400,4,1,1,0,1,9,1
1,1,40,1,52423,1,1,1,0,30,0,7420,6,0,0,0,1,1,1
1,0,32,1,76985,0,0,0,1,37,0,19500,7,1,1,0,1,15,1
0,0,35,0,0,0,1,1,0,17,0,5000,10,0,0,0,0,1,1
0,0,37,0,80997,0,0,0,1,47,1,16290,11,1,0,0,0,7,1
1,0,54,0,62215,1,1,1,0,30,1,21840,1,0,1,0,1,5,1
0,0,39,1,54714,1,1,0,0,42,1,5400,3,0,0,0,1,1,1
1,0,49,0,37356,1,1,0,0,63,1,6400,1,1,1,0,1,6,1
0,0,48,0,0,0,1,1,0,25,1,6300,1,0,0,0,0,10,0
1,0,42,0,28341,1,1,0,0,45,1,8530,4,1,1,0,1,1,1
0,0,56,0,27968,1,1,1,0,20,0,8260,4,0,0,0,0,10,0
1,0,48,0,52275,1,1,0,1,57,0,14060,1,0,1,0,1,6,1
1,0,21,0,40022,0,0,1,1,67,0,9360,6,1,0,0,0,1,1
0,0,33,1,46453,1,1,0,0,47,0,6150,10,0,0,0,1,5,1
0,1,38,1,122492,0,0,1,1,22,0,33250,18,0,0,0,1,1,1
0,0,33,1,22899,1,0,0,0,19,0,7090,6,1,0,0,0,5,0
0,0,51,0,124550,1,1,0,1,37,0,38290,7,0,0,0,1,10,1
0,0,45,0,100822,1,1,0,1,5,0,8310,12,0,0,0,0,7,1
1,0,40,0,57063,0,0,1,1,46,0,16250,10,0,0,0,0,19,1
0,0,39,0,87562,0,0,0,1,26,1,10260,10,1,0,0,0,14,1
0,0,19,1,0,1,1,1,0,25,0,9100,5,0,1,0,1,1,0
0,0,49,0,40452,1,1,0,1,25,1,21600,9,1,0,0,1,7,0
0,0,33,1,14369,1,1,1,0,37,0,6240,4,0,0,0,0,6,0
0,0,43,1,176021,1,1,0,1,35,1,29330,1,0,0,0,0,20,1
0,0,48,0,43095,0,1,0,0,39,1,10850,6,1,1,0,1,1,1
0,0,45,1,70982,1,1,0,0,5,0,13660,6,0,0,0,1,6,1
0,0,39,0,76150,1,1,0,1,39,1,14010,6,0,0,0,1,8,0
1,0,32,0,52469,0,0,0,0,21,1,4700,4,0,0,1,1,9,0
0,1,45,1,103087,1,1,0,1,28,0,18230,6,1,0,0,1,9,1
0,0,51,0,0,0,1,1,0,10,0,16180,7,0,0,0,0,6,1
0,0,36,0,48710,0,0,1,0,59,0,9970,10,0,1,0,1,5,0
1,1,72,1,27625,1,1,1,0,32,0,18960,6,0,1,0,1,1,1
0,0,51,0,27940,0,0,0,0,20,0,21010,10,1,1,1,1,6,1
0,1,39,1,54298,1,1,1,1,21,0,14480,4,0,0,0,0,9,1
0,0,45,1,45105,1,1,0,1,37,1,17540,14,1,1,1,1,9,1
1,1,36,1,28326,1,1,1,0,37,1,26280,7,0,1,1,1,8,1
0,0,32,1,17545,0,0,0,0,46,1,8240,10,0,0,0,0,1,1
0,0,57,0,159517,1,0,0,1,43,0,23150,4,0,0,0,1,17,1
0,0,47,0,28172,1,1,1,0,27,0,13970,7,0,0,0,0,1,1
0,1,36,1,60097,1,1,1,0,40,1,28040,11,0,0,0,1,1,1
0,0,43,1,19219,0,0,1,0,53,1,10470,11,0,0,0,1,1,1
0,0,46,0,107677,0,0,1,1,42,0,17820,1,0,0,1,0,16,1
0,0,41,0,43889,0,0,1,1,29,0,18010,4,0,0,0,1,7,0
0,0,55,0,49627,1,1,0,0,49,1,11550,1,0,0,0,0,1,0
1,0,63,0,26921,1,1,1,1,19,0,14360,1,0,1,1,1,11,1
1,0,45,1,13891,1,1,1,0,47,0,7390,1,0,1,0,1,8,1
1,0,35,0,64488,0,1,0,0,37,1,21820,1,1,1,0,1,7,1
